trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
13,0.5,0,29.7810672,30.2808188,30.2808188,30.2808188,30.5805761,right,0,1,1,0.5353604,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
14,0.5,0,30.847666,31.3465012,31.3465012,31.3629069,31.6455182,left,0,1,1,0.4276617,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
15,0.5,0,31.7961799,32.2957507,32.2957507,32.3130005,32.5951552,left,0,0,0,0.5646654,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
16,0.5,0.5,32.8775483,33.3787026,33.3787026,33.3787026,33.6937356,left,-0.5,0,0,0.6176107,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
17,0.5,1,34.0266698,34.5268761,34.5268761,34.5268761,34.8260072,left,-1,1,1,0.6134707,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
18,0.5,1,35.1585292,35.6585005,35.6585005,35.6585005,35.9578747,left,-1,0,0,0.5643222,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
19,0.5,1.5,36.240896,36.7420632,36.7420632,36.7420632,37.0409042,left,-1.5,1,1,0.3694549,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
20,0.5,1.5,37.1412952,37.6408636,37.6408636,37.6579831,37.9400445,left,-1.5,0,0,0.4891835,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
21,0.5,2,38.1573864,38.6559137,38.6559137,38.6726963,38.9568585,left,-2,1,1,0.7387687,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
22,0.5,2,39.420954,39.9215207,39.9215207,39.9215207,40.2214248,left,-2,1,1,0.3965197,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
23,0.5,1.5,40.337551,40.836521,40.836521,40.8530898,41.1372624,right,1.5,0,0,0.3860382,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
24,0.5,2,41.2529973,41.752687,41.752687,41.752687,42.0524663,right,2,1,1,0.48127,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
25,0.5,2,42.2519119,42.7521566,42.7521566,42.7521566,43.051451,right,2,1,1,0.4094988,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
26,0.5,1.5,43.1844001,43.6845747,43.6845747,43.6845747,43.9839744,left,-1.5,1,1,0.4543216,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
27,0.5,1.5,44.16719,44.666841,44.666841,44.666841,44.966902,right,1.5,1,1,0.3506411,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
28,0.5,1,45.0497456,45.5493635,45.5493635,45.5493635,45.8493515,right,1,1,1,0.4365946,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
29,0.5,1,46.015836,46.5154336,46.5154336,46.5154336,46.8149986,right,1,1,1,0.4117049,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
30,0.5,0.5,46.9467748,47.4474365,47.4474365,47.4474365,47.7458221,right,0.5,1,1,0.4447188,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
31,0.5,0.5,47.9131602,48.4129347,48.4129347,48.4129347,48.7125975,right,0.5,1,1,0.4000383,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
32,0.5,0,48.8291097,49.3282912,49.3282912,49.3449544,49.628762,right,0,1,1,0.469775,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
33,0.5,0,49.82787,50.3277749,50.3277749,50.3277749,50.6277353,right,0,1,1,0.4901843,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
34,0.5,0,50.8440618,51.3438929,51.3438929,51.3438929,51.6432246,left,0,0,0,0.4213268,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
35,0.5,0.5,51.7926628,52.2923125,52.2923125,52.2923125,52.5920802,right,0.5,1,1,0.3604859,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
36,0.5,0.5,52.6753338,53.1753476,53.1753476,53.1753476,53.4748742,right,0.5,1,1,0.4085625,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
37,0.5,0,53.6076809,54.1074426,54.1074426,54.1074426,54.4070419,left,0,0,0,0.3119667,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
38,0.5,0.5,54.4403246,54.9403591,54.9403591,54.9403591,55.2397837,left,-0.5,0,0,0.3559444,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
39,0.5,1,55.322248,55.8221094,55.8221094,55.8221094,56.1217046,left,-1,1,1,0.5275311,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
40,0.5,1,56.3715799,56.8714571,56.8714571,56.8714571,57.1720029,right,1,1,1,0.5909396,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
41,0.5,0.5,57.4873664,57.9873196,57.9873196,57.9873196,58.2861159,left,-0.5,1,1,0.49781,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
42,0.5,0.5,58.5028647,59.0030397,59.0030397,59.0030397,59.3022255,left,-0.5,1,1,0.4436751,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
43,0.5,0,59.4687822,59.9692221,59.9692221,59.9692221,60.2840125,left,0,0,0,0.4672084,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
44,0.5,0.5,60.4678969,60.967294,60.967294,60.9838517,61.2669808,left,-0.5,1,1,0.4954064,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
45,0.5,0.5,61.48311,61.9832957,61.9832957,61.9832957,62.2823404,left,-0.5,1,1,0.5844858,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
46,0.5,0,62.5987113,63.0988146,63.0988146,63.0988146,63.3980838,right,0,1,1,0.4529684,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
47,0.5,0,63.5808253,64.0806515,64.0806515,64.0806515,64.3806414,left,0,0,0,0.4391084,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
48,0.5,0.5,64.5464787,65.0467779,65.0467779,65.0467779,65.3460826,left,-0.5,0,0,0.4911036,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
49,0.5,1,65.5623713,66.0624692,66.0624692,66.0624692,66.3613765,left,-1,1,1,0.4583628,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
50,0.5,1,66.5451398,67.0445954,67.0445954,67.0445954,67.3443621,left,-1,0,0,0.4548623,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
51,0.5,1.5,67.527016,68.0266351,68.0266351,68.0266351,68.3270919,right,1.5,1,1,0.7508407,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
